id;original;limpo;tokens;tokens_sem_sw
16;O prefeito de São Paulo, Ricardo Nunes, inaugurou o trecho norte da Linha 6 do metrô, que liga a estação Brasilândia ao centro da cidade.;o prefeito de são paulo ricardo nunes inaugurou o trecho norte da linha do metrô que liga a estação brasilândia ao centro da cidade;o prefeito de são paulo ricardo nunes inaugurou o trecho norte da linha do metrô que liga a estação brasilândia ao centro da cidade;prefeito paulo ricardo nunes inaugurou trecho norte linha metrô liga estação brasilândia centro cidade
17;O Brasil registrou superávit comercial de US$ 8,4 bilhões em setembro, impulsionado pelas exportações de soja e petróleo.;o brasil registrou superávit comercial de us bilhões em setembro impulsionado pelas exportações de soja e petróleo;o brasil registrou superávit comercial de us bilhões em setembro impulsionado pelas exportações de soja e petróleo;brasil registrou superávit comercial bilhões setembro impulsionado exportações soja petróleo
18;A Câmara dos Deputados aprovou em primeiro turno a reforma administrativa, que altera as regras do serviço público federal.;a câmara dos deputados aprovou em primeiro turno a reforma administrativa que altera as regras do serviço público federal;a câmara dos deputados aprovou em primeiro turno a reforma administrativa que altera as regras do serviço público federal;câmara deputados aprovou primeiro turno reforma administrativa altera regras serviço público federal
19;O Conselho Nacional de Justiça publicou resolução que moderniza o sistema de processos digitais no Judiciário brasileiro.;o conselho nacional de justiça publicou resolução que moderniza o sistema de processos digitais no judiciário brasileiro;o conselho nacional de justiça publicou resolução que moderniza o sistema de processos digitais no judiciário brasileiro;conselho nacional justiça publicou resolução moderniza sistema processos digitais judiciário brasileiro
20;A Ambev divulgou crescimento de 15% nas vendas no mercado brasileiro, atribuído ao aumento do consumo nas regiões Norte e Nordeste.;a ambev divulgou crescimento de nas vendas no mercado brasileiro atribuído ao aumento do consumo nas regiões norte e nordeste;a ambev divulgou crescimento de nas vendas no mercado brasileiro atribuído ao aumento do consumo nas regiões norte e nordeste;ambev divulgou crescimento vendas mercado brasileiro atribuído aumento consumo regiões norte nordeste
21;O governo federal lançou o programa Minha Casa Minha Vida ampliado, com meta de construir 2 milhões de habitações até 2026.;o governo federal lançou o programa minha casa minha vida ampliado com meta de construir milhões de habitações até;o governo federal lançou o programa minha casa minha vida ampliado com meta de construir milhões de habitações até;governo federal lançou programa minha casa minha vida ampliado meta construir milhões habitações
22;A Agência Nacional de Telecomunicações anunciou o leilão de frequências 5G para as cidades de médio porte do interior do Brasil.;a agência nacional de telecomunicações anunciou o leilão de frequências g para as cidades de médio porte do interior do brasil;a agência nacional de telecomunicações anunciou o leilão de frequências g para as cidades de médio porte do interior do brasil;agência nacional telecomunicações anunciou leilão frequências cidades médio porte interior brasil
23;O Tribunal de Contas da União apontou irregularidades em contratos de obras do Departamento Nacional de Infraestrutura de Transportes.;o tribunal de contas da união apontou irregularidades em contratos de obras do departamento nacional de infraestrutura de transportes;o tribunal de contas da união apontou irregularidades em contratos de obras do departamento nacional de infraestrutura de transportes;tribunal contas união apontou irregularidades contratos obras departamento nacional infraestrutura transportes
24;A Sabesp, empresa de saneamento de São Paulo, informou que atingiu a meta de universalização do tratamento de esgoto no estado.;a sabesp empresa de saneamento de são paulo informou que atingiu a meta de universalização do tratamento de esgoto no estado;a sabesp empresa de saneamento de são paulo informou que atingiu a meta de universalização do tratamento de esgoto no estado;sabesp empresa saneamento paulo informou atingiu meta universalização tratamento esgoto estado
25;O presidente da Câmara, Arthur Lira, pautou para votação o projeto de lei sobre a tributação de plataformas digitais internacionais.;o presidente da câmara arthur lira pautou para votação o projeto de lei sobre a tributação de plataformas digitais internacionais;o presidente da câmara arthur lira pautou para votação o projeto de lei sobre a tributação de plataformas digitais internacionais;presidente câmara arthur lira pautou votação projeto lei tributação plataformas digitais internacionais
26;O Brasil sediará a Conferência das Nações Unidas sobre Mudanças Climáticas, a COP30, na cidade de Belém do Pará em novembro de 2025.;o brasil sediará a conferência das nações unidas sobre mudanças climáticas a cop na cidade de belém do pará em novembro de;o brasil sediará a conferência das nações unidas sobre mudanças climáticas a cop na cidade de belém do pará em novembro de;brasil sediará conferência nações unidas mudanças climáticas cop cidade belém pará novembro
27;A Fiocruz anunciou o desenvolvimento de nova vacina contra a dengue em parceria com universidades federais do Rio de Janeiro e São Paulo.;a fiocruz anunciou o desenvolvimento de nova vacina contra a dengue em parceria com universidades federais do rio de janeiro e são paulo;a fiocruz anunciou o desenvolvimento de nova vacina contra a dengue em parceria com universidades federais do rio de janeiro e são paulo;fiocruz anunciou desenvolvimento vacina contra dengue parceria universidades federais rio janeiro paulo
28;O Ministério do Trabalho publicou portaria que estabelece novas regras para o teletrabalho e o trabalho híbrido no setor privado.;o ministério do trabalho publicou portaria que estabelece novas regras para o teletrabalho e o trabalho híbrido no setor privado;o ministério do trabalho publicou portaria que estabelece novas regras para o teletrabalho e o trabalho híbrido no setor privado;ministério trabalho publicou portaria estabelece novas regras teletrabalho trabalho híbrido setor privado
29;A Receita Federal do Brasil arrecadou R$ 218 bilhões em agosto, recorde histórico para o mês, superando a previsão do governo federal.;a receita federal do brasil arrecadou r bilhões em agosto recorde histórico para o mês superando a previsão do governo federal;a receita federal do brasil arrecadou r bilhões em agosto recorde histórico para o mês superando a previsão do governo federal;receita federal brasil arrecadou bilhões agosto recorde histórico mês superando previsão governo federal
30;O Banco Nacional de Desenvolvimento Econômico e Social aprovou financiamento de R$ 12 bilhões para projetos de energia renovável no Nordeste.;o banco nacional de desenvolvimento econômico e social aprovou financiamento de r bilhões para projetos de energia renovável no nordeste;o banco nacional de desenvolvimento econômico e social aprovou financiamento de r bilhões para projetos de energia renovável no nordeste;banco nacional desenvolvimento econômico social aprovou financiamento bilhões projetos energia renovável nordeste
31;A ministra do Meio Ambiente, Marina Silva, assinou decreto que amplia em 2 milhões de hectares a área de proteção ambiental na Amazônia.;a ministra do meio ambiente marina silva assinou decreto que amplia em milhões de hectares a área de proteção ambiental na amazônia;a ministra do meio ambiente marina silva assinou decreto que amplia em milhões de hectares a área de proteção ambiental na amazônia;ministra meio ambiente marina silva assinou decreto amplia milhões hectares área proteção ambiental amazônia
32;O Instituto Nacional do Seguro Social informou que o pagamento do 13º salário dos aposentados será antecipado para o mês de agosto.;o instituto nacional do seguro social informou que o pagamento do º salário dos aposentados será antecipado para o mês de agosto;o instituto nacional do seguro social informou que o pagamento do º salário dos aposentados será antecipado para o mês de agosto;instituto nacional seguro social informou pagamento salário aposentados será antecipado mês agosto
