id;documento;pos_tags
11;A empresa de tecnologia Totvs anunciou a aquisição de uma startup de inteligência artificial por R$ 450 milhões no Rio de Janeiro.;[('A', 'ART'), ('empresa', 'SUBST'), ('de', 'PREP'), ('tecnologia', 'SUBST'), ('Totvs', 'PROPN'), ('anunciou', 'V'), ('a', 'ART'), ('aquisição', 'SUBST'), ('de', 'PREP'), ('uma', 'ART'), ('startup', 'SUBST'), ('de', 'PREP'), ('inteligência', 'SUBST'), ('artificial', 'ADJ'), ('por', 'PREP'), ('R', 'SUBST'), ('450', 'NUM'), ('milhões', 'SUBST'), ('no', 'PREP'), ('Rio', 'PROPN'), ('de', 'PREP'), ('Janeiro', 'PROPN'), ('.', 'PUNCT')]
12;O Senado Federal aprovou por 52 votos a 19 a proposta de emenda constitucional que modifica as regras do sistema previdenciário.;[('O', 'ART'), ('Senado', 'PROPN'), ('Federal', 'PROPN'), ('aprovou', 'V'), ('por', 'PREP'), ('52', 'NUM'), ('votos', 'SUBST'), ('a', 'ART'), ('19', 'NUM'), ('a', 'ART'), ('proposta', 'SUBST'), ('de', 'PREP'), ('emenda', 'SUBST'), ('constitucional', 'ADJ'), ('que', 'CONJ'), ('modifica', 'V'), ('as', 'ART'), ('regras', 'SUBST'), ('do', 'PREP'), ('sistema', 'SUBST'), ('previdenciário', 'SUBST'), ('.', 'PUNCT')]
13;A Embraer fechou contrato de US$ 2 bilhões com companhia aérea americana para fornecimento de aeronaves E2 nos próximos cinco anos.;[('A', 'ART'), ('Embraer', 'PROPN'), ('fechou', 'V'), ('contrato', 'SUBST'), ('de', 'PREP'), ('US', 'SUBST'), ('2', 'NUM'), ('bilhões', 'SUBST'), ('com', 'PREP'), ('companhia', 'SUBST'), ('aérea', 'SUBST'), ('americana', 'SUBST'), ('para', 'PREP'), ('fornecimento', 'SUBST'), ('de', 'PREP'), ('aeronaves', 'SUBST'), ('E2', 'SUBST'), ('nos', 'PREP'), ('próximos', 'SUBST'), ('cinco', 'SUBST'), ('anos', 'SUBST'), ('.', 'PUNCT')]
14;O ministro da Educação anunciou a expansão do programa Bolsa Família para famílias com crianças em idade escolar em todo o território nacional.;[('O', 'ART'), ('ministro', 'SUBST'), ('da', 'PREP'), ('Educação', 'PROPN'), ('anunciou', 'V'), ('a', 'ART'), ('expansão', 'SUBST'), ('do', 'PREP'), ('programa', 'SUBST'), ('Bolsa', 'PROPN'), ('Família', 'PROPN'), ('para', 'PREP'), ('famílias', 'SUBST'), ('com', 'PREP'), ('crianças', 'SUBST'), ('em', 'PREP'), ('idade', 'SUBST'), ('escolar', 'SUBST'), ('em', 'PREP'), ('todo', 'SUBST'), ('o', 'ART'), ('território', 'SUBST'), ('nacional', 'ADJ'), ('.', 'PUNCT')]
15;A Agência Nacional de Vigilância Sanitária aprovou novos medicamentos genéricos para o tratamento de doenças crônicas no Brasil.;[('A', 'ART'), ('Agência', 'PROPN'), ('Nacional', 'PROPN'), ('de', 'PREP'), ('Vigilância', 'PROPN'), ('Sanitária', 'PROPN'), ('aprovou', 'V'), ('novos', 'SUBST'), ('medicamentos', 'SUBST'), ('genéricos', 'SUBST'), ('para', 'PREP'), ('o', 'ART'), ('tratamento', 'SUBST'), ('de', 'PREP'), ('doenças', 'SUBST'), ('crônicas', 'SUBST'), ('no', 'PREP'), ('Brasil', 'PROPN'), ('.', 'PUNCT')]
16;O prefeito de São Paulo, Ricardo Nunes, inaugurou o trecho norte da Linha 6 do metrô, que liga a estação Brasilândia ao centro da cidade.;[('O', 'ART'), ('prefeito', 'SUBST'), ('de', 'PREP'), ('São', 'PROPN'), ('Paulo', 'PROPN'), (',', 'PUNCT'), ('Ricardo', 'PROPN'), ('Nunes', 'PROPN'), (',', 'PUNCT'), ('inaugurou', 'V'), ('o', 'ART'), ('trecho', 'SUBST'), ('norte', 'SUBST'), ('da', 'PREP'), ('Linha', 'PROPN'), ('6', 'NUM'), ('do', 'PREP'), ('metrô', 'SUBST'), (',', 'PUNCT'), ('que', 'CONJ'), ('liga', 'SUBST'), ('a', 'ART'), ('estação', 'SUBST'), ('Brasilândia', 'PROPN'), ('ao', 'PREP'), ('centro', 'SUBST'), ('da', 'PREP'), ('cidade', 'SUBST'), ('.', 'PUNCT')]
17;O Brasil registrou superávit comercial de US$ 8,4 bilhões em setembro, impulsionado pelas exportações de soja e petróleo.;[('O', 'ART'), ('Brasil', 'PROPN'), ('registrou', 'V'), ('superávit', 'SUBST'), ('comercial', 'ADJ'), ('de', 'PREP'), ('US', 'SUBST'), ('8', 'NUM'), (',', 'PUNCT'), ('4', 'NUM'), ('bilhões', 'SUBST'), ('em', 'PREP'), ('setembro', 'SUBST'), (',', 'PUNCT'), ('impulsionado', 'V'), ('pelas', 'SUBST'), ('exportações', 'SUBST'), ('de', 'PREP'), ('soja', 'SUBST'), ('e', 'CONJ'), ('petróleo', 'SUBST'), ('.', 'PUNCT')]
18;A Câmara dos Deputados aprovou em primeiro turno a reforma administrativa, que altera as regras do serviço público federal.;[('A', 'ART'), ('Câmara', 'PROPN'), ('dos', 'PREP'), ('Deputados', 'PROPN'), ('aprovou', 'V'), ('em', 'PREP'), ('primeiro', 'SUBST'), ('turno', 'SUBST'), ('a', 'ART'), ('reforma', 'SUBST'), ('administrativa', 'SUBST'), (',', 'PUNCT'), ('que', 'CONJ'), ('altera', 'V'), ('as', 'ART'), ('regras', 'SUBST'), ('do', 'PREP'), ('serviço', 'SUBST'), ('público', 'SUBST'), ('federal', 'ADJ'), ('.', 'PUNCT')]
19;O Conselho Nacional de Justiça publicou resolução que moderniza o sistema de processos digitais no Judiciário brasileiro.;[('O', 'ART'), ('Conselho', 'PROPN'), ('Nacional', 'PROPN'), ('de', 'PREP'), ('Justiça', 'PROPN'), ('publicou', 'V'), ('resolução', 'SUBST'), ('que', 'CONJ'), ('moderniza', 'SUBST'), ('o', 'ART'), ('sistema', 'SUBST'), ('de', 'PREP'), ('processos', 'SUBST'), ('digitais', 'ADJ'), ('no', 'PREP'), ('Judiciário', 'PROPN'), ('brasileiro', 'SUBST'), ('.', 'PUNCT')]
20;A Ambev divulgou crescimento de 15% nas vendas no mercado brasileiro, atribuído ao aumento do consumo nas regiões Norte e Nordeste.;[('A', 'ART'), ('Ambev', 'PROPN'), ('divulgou', 'V'), ('crescimento', 'SUBST'), ('de', 'PREP'), ('15', 'NUM'), ('nas', 'PREP'), ('vendas', 'SUBST'), ('no', 'PREP'), ('mercado', 'V'), ('brasileiro', 'SUBST'), (',', 'PUNCT'), ('atribuído', 'SUBST'), ('ao', 'PREP'), ('aumento', 'SUBST'), ('do', 'PREP'), ('consumo', 'SUBST'), ('nas', 'PREP'), ('regiões', 'SUBST'), ('Norte', 'PROPN'), ('e', 'CONJ'), ('Nordeste', 'PROPN'), ('.', 'PUNCT')]
21;O governo federal lançou o programa Minha Casa Minha Vida ampliado, com meta de construir 2 milhões de habitações até 2026.;[('O', 'ART'), ('governo', 'SUBST'), ('federal', 'ADJ'), ('lançou', 'V'), ('o', 'ART'), ('programa', 'SUBST'), ('Minha', 'PROPN'), ('Casa', 'PROPN'), ('Minha', 'PROPN'), ('Vida', 'PROPN'), ('ampliado', 'V'), (',', 'PUNCT'), ('com', 'PREP'), ('meta', 'SUBST'), ('de', 'PREP'), ('construir', 'V'), ('2', 'NUM'), ('milhões', 'SUBST'), ('de', 'PREP'), ('habitações', 'SUBST'), ('até', 'PREP'), ('2026', 'NUM'), ('.', 'PUNCT')]
22;A Agência Nacional de Telecomunicações anunciou o leilão de frequências 5G para as cidades de médio porte do interior do Brasil.;[('A', 'ART'), ('Agência', 'PROPN'), ('Nacional', 'PROPN'), ('de', 'PREP'), ('Telecomunicações', 'PROPN'), ('anunciou', 'V'), ('o', 'ART'), ('leilão', 'SUBST'), ('de', 'PREP'), ('frequências', 'SUBST'), ('5G', 'SUBST'), ('para', 'PREP'), ('as', 'ART'), ('cidades', 'SUBST'), ('de', 'PREP'), ('médio', 'SUBST'), ('porte', 'SUBST'), ('do', 'PREP'), ('interior', 'SUBST'), ('do', 'PREP'), ('Brasil', 'PROPN'), ('.', 'PUNCT')]
23;O Tribunal de Contas da União apontou irregularidades em contratos de obras do Departamento Nacional de Infraestrutura de Transportes.;[('O', 'ART'), ('Tribunal', 'PROPN'), ('de', 'PREP'), ('Contas', 'PROPN'), ('da', 'PREP'), ('União', 'PROPN'), ('apontou', 'V'), ('irregularidades', 'SUBST'), ('em', 'PREP'), ('contratos', 'SUBST'), ('de', 'PREP'), ('obras', 'SUBST'), ('do', 'PREP'), ('Departamento', 'PROPN'), ('Nacional', 'PROPN'), ('de', 'PREP'), ('Infraestrutura', 'PROPN'), ('de', 'PREP'), ('Transportes', 'PROPN'), ('.', 'PUNCT')]
24;A Sabesp, empresa de saneamento de São Paulo, informou que atingiu a meta de universalização do tratamento de esgoto no estado.;[('A', 'ART'), ('Sabesp', 'PROPN'), (',', 'PUNCT'), ('empresa', 'SUBST'), ('de', 'PREP'), ('saneamento', 'SUBST'), ('de', 'PREP'), ('São', 'PROPN'), ('Paulo', 'PROPN'), (',', 'PUNCT'), ('informou', 'V'), ('que', 'CONJ'), ('atingiu', 'V'), ('a', 'ART'), ('meta', 'SUBST'), ('de', 'PREP'), ('universalização', 'SUBST'), ('do', 'PREP'), ('tratamento', 'SUBST'), ('de', 'PREP'), ('esgoto', 'SUBST'), ('no', 'PREP'), ('estado', 'V'), ('.', 'PUNCT')]
25;O presidente da Câmara, Arthur Lira, pautou para votação o projeto de lei sobre a tributação de plataformas digitais internacionais.;[('O', 'ART'), ('presidente', 'SUBST'), ('da', 'PREP'), ('Câmara', 'PROPN'), (',', 'PUNCT'), ('Arthur', 'PROPN'), ('Lira', 'PROPN'), (',', 'PUNCT'), ('pautou', 'SUBST'), ('para', 'PREP'), ('votação', 'SUBST'), ('o', 'ART'), ('projeto', 'SUBST'), ('de', 'PREP'), ('lei', 'SUBST'), ('sobre', 'PREP'), ('a', 'ART'), ('tributação', 'SUBST'), ('de', 'PREP'), ('plataformas', 'SUBST'), ('digitais', 'ADJ'), ('internacionais', 'ADJ'), ('.', 'PUNCT')]
26;O Brasil sediará a Conferência das Nações Unidas sobre Mudanças Climáticas, a COP30, na cidade de Belém do Pará em novembro de 2025.;[('O', 'ART'), ('Brasil', 'PROPN'), ('sediará', 'V'), ('a', 'ART'), ('Conferência', 'PROPN'), ('das', 'PREP'), ('Nações', 'PROPN'), ('Unidas', 'PROPN'), ('sobre', 'PREP'), ('Mudanças', 'PROPN'), ('Climáticas', 'PROPN'), (',', 'PUNCT'), ('a', 'ART'), ('COP30', 'PROPN'), (',', 'PUNCT'), ('na', 'PREP'), ('cidade', 'SUBST'), ('de', 'PREP'), ('Belém', 'PROPN'), ('do', 'PREP'), ('Pará', 'PROPN'), ('em', 'PREP'), ('novembro', 'SUBST'), ('de', 'PREP'), ('2025', 'NUM'), ('.', 'PUNCT')]
27;A Fiocruz anunciou o desenvolvimento de nova vacina contra a dengue em parceria com universidades federais do Rio de Janeiro e São Paulo.;[('A', 'ART'), ('Fiocruz', 'PROPN'), ('anunciou', 'V'), ('o', 'ART'), ('desenvolvimento', 'SUBST'), ('de', 'PREP'), ('nova', 'SUBST'), ('vacina', 'SUBST'), ('contra', 'SUBST'), ('a', 'ART'), ('dengue', 'SUBST'), ('em', 'PREP'), ('parceria', 'SUBST'), ('com', 'PREP'), ('universidades', 'SUBST'), ('federais', 'ADJ'), ('do', 'PREP'), ('Rio', 'PROPN'), ('de', 'PREP'), ('Janeiro', 'PROPN'), ('e', 'CONJ'), ('São', 'PROPN'), ('Paulo', 'PROPN'), ('.', 'PUNCT')]
28;O Ministério do Trabalho publicou portaria que estabelece novas regras para o teletrabalho e o trabalho híbrido no setor privado.;[('O', 'ART'), ('Ministério', 'PROPN'), ('do', 'PREP'), ('Trabalho', 'PROPN'), ('publicou', 'V'), ('portaria', 'SUBST'), ('que', 'CONJ'), ('estabelece', 'V'), ('novas', 'SUBST'), ('regras', 'SUBST'), ('para', 'PREP'), ('o', 'ART'), ('teletrabalho', 'SUBST'), ('e', 'CONJ'), ('o', 'ART'), ('trabalho', 'SUBST'), ('híbrido', 'V'), ('no', 'PREP'), ('setor', 'SUBST'), ('privado', 'V'), ('.', 'PUNCT')]
29;A Receita Federal do Brasil arrecadou R$ 218 bilhões em agosto, recorde histórico para o mês, superando a previsão do governo federal.;[('A', 'ART'), ('Receita', 'PROPN'), ('Federal', 'PROPN'), ('do', 'PREP'), ('Brasil', 'PROPN'), ('arrecadou', 'SUBST'), ('R', 'SUBST'), ('218', 'NUM'), ('bilhões', 'SUBST'), ('em', 'PREP'), ('agosto', 'SUBST'), (',', 'PUNCT'), ('recorde', 'SUBST'), ('histórico', 'SUBST'), ('para', 'PREP'), ('o', 'ART'), ('mês', 'SUBST'), (',', 'PUNCT'), ('superando', 'V'), ('a', 'ART'), ('previsão', 'SUBST'), ('do', 'PREP'), ('governo', 'SUBST'), ('federal', 'ADJ'), ('.', 'PUNCT')]
30;O Banco Nacional de Desenvolvimento Econômico e Social aprovou financiamento de R$ 12 bilhões para projetos de energia renovável no Nordeste.;[('O', 'ART'), ('Banco', 'PROPN'), ('Nacional', 'PROPN'), ('de', 'PREP'), ('Desenvolvimento', 'PROPN'), ('Econômico', 'PROPN'), ('e', 'CONJ'), ('Social', 'PROPN'), ('aprovou', 'V'), ('financiamento', 'SUBST'), ('de', 'PREP'), ('R', 'SUBST'), ('12', 'NUM'), ('bilhões', 'SUBST'), ('para', 'PREP'), ('projetos', 'SUBST'), ('de', 'PREP'), ('energia', 'SUBST'), ('renovável', 'ADJ'), ('no', 'PREP'), ('Nordeste', 'PROPN'), ('.', 'PUNCT')]
31;A ministra do Meio Ambiente, Marina Silva, assinou decreto que amplia em 2 milhões de hectares a área de proteção ambiental na Amazônia.;[('A', 'ART'), ('ministra', 'SUBST'), ('do', 'PREP'), ('Meio', 'PROPN'), ('Ambiente', 'PROPN'), (',', 'PUNCT'), ('Marina', 'PROPN'), ('Silva', 'PROPN'), (',', 'PUNCT'), ('assinou', 'V'), ('decreto', 'SUBST'), ('que', 'CONJ'), ('amplia', 'V'), ('em', 'PREP'), ('2', 'NUM'), ('milhões', 'SUBST'), ('de', 'PREP'), ('hectares', 'SUBST'), ('a', 'ART'), ('área', 'SUBST'), ('de', 'PREP'), ('proteção', 'SUBST'), ('ambiental', 'ADJ'), ('na', 'PREP'), ('Amazônia', 'PROPN'), ('.', 'PUNCT')]
32;O Instituto Nacional do Seguro Social informou que o pagamento do 13º salário dos aposentados será antecipado para o mês de agosto.;[('O', 'ART'), ('Instituto', 'PROPN'), ('Nacional', 'PROPN'), ('do', 'PREP'), ('Seguro', 'PROPN'), ('Social', 'PROPN'), ('informou', 'V'), ('que', 'CONJ'), ('o', 'ART'), ('pagamento', 'SUBST'), ('do', 'PREP'), ('13º', 'SUBST'), ('salário', 'SUBST'), ('dos', 'PREP'), ('aposentados', 'SUBST'), ('será', 'V'), ('antecipado', 'V'), ('para', 'PREP'), ('o', 'ART'), ('mês', 'SUBST'), ('de', 'PREP'), ('agosto', 'SUBST'), ('.', 'PUNCT')]
